Player,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Jack,Queen,King,Ace
H21,S,S,S,S,S,S,S,S,S,S,S,S,S
H20,S,S,S,S,S,S,S,S,S,S,S,S,S
H19,S,S,S,S,S,S,S,S,S,S,S,S,S
H18,S,S,S,S,S,S,S,S,S,S,S,S,S
H17,S,S,S,S,S,S,S,S,S,S,S,S,S
H16,S,S,S,S,S,H,H,Sr,Sr,Sr,Sr,Sr,H
H15,S,S,S,S,S,H,H,H,Sr,Sr,Sr,Sr,H
H14,S,S,S,S,S,H,H,H,H,H,H,H,H
H13,S,S,S,S,S,H,H,H,H,H,H,H,H
H12,H,H,S,S,S,H,H,H,H,H,H,H,H
H11,D,D,D,D,D,D,D,D,D,D,D,D,H
H10,D,D,D,D,D,D,D,D,H,H,H,H,H
H9,H,D,D,D,D,H,H,H,H,H,H,H,H
H8,H,H,H,H,H,H,H,H,H,H,H,H,H
H7,H,H,H,H,H,H,H,H,H,H,H,H,H
H6,H,H,H,H,H,H,H,H,H,H,H,H,H
H5,H,H,H,H,H,H,H,H,H,H,H,H,H
S21,S,S,S,S,S,S,S,S,S,S,S,S,S
S20,S,S,S,S,S,S,S,S,S,S,S,S,S
S19,S,S,S,S,S,S,S,S,S,S,S,S,S
S18,S,D,D,D,D,S,S,H,H,H,H,H,H
S17,H,D,D,D,D,H,H,H,H,H,H,H,H
S16,H,H,D,D,D,H,H,H,H,H,H,H,H
S15,H,H,D,D,D,H,H,H,H,H,H,H,H
S14,H,H,H,D,D,H,H,H,H,H,H,H,H
S13,H,H,H,D,D,H,H,H,H,H,H,H,H
S12,H,H,H,H,H,H,H,H,H,H,H,H,H
H4,H,H,H,H,H,H,H,H,H,H,H,H,H
S21,S,S,S,S,S,S,S,S,S,S,S,S,S
